lf_num	auroc	aupr	bce_loss	sampled_lf_name	label_source	data_source	model	epochs	l2_param	lr_param
3	0.6745694100660067	0.47548868193430394	0.5445306301116943	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG	CtD_baseline	abstract	tune	250	0.01	0.001
3	0.5389014175257731	0.2990518042551219	0.5634380578994751	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG	CtD_baseline	abstract	test	250	0.01	0.001
3	0.6745694100660067	0.47548868193430394	0.5908706188201904	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG	CtD_baseline	full_text	tune	250	0.01	0.001
3	0.5389014175257731	0.2990518042551219	0.561504065990448	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG	CtD_baseline	full_text	test	250	0.01	0.001
1	0.6776119018151816	0.47613290566172173	0.543083906173706	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_DG_DISTANCE_LONG	DaG	abstract	tune	250	0.01	0.001
1	0.5382110640648011	0.29822461835019554	0.5645143389701843	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_DG_DISTANCE_LONG	DaG	abstract	test	250	0.01	0.001
1	0.6754589521452146	0.46409033881556133	0.5442408323287964	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_DG_BICLUSTER_BIOMARKERS	DaG	abstract	tune	250	0.01	0.001
1	0.5290868924889544	0.28761677012894366	0.5642292499542236	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_DG_BICLUSTER_BIOMARKERS	DaG	abstract	test	250	0.01	0.001
1	0.6779986592409241	0.4536594439620093	0.5448498725891113	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_DG_BICLUSTER_PATHOGENESIS	DaG	abstract	tune	250	0.01	0.001
1	0.5206875920471281	0.28126839014149985	0.5639612674713135	LF_HETNET_PHARMACOTHERAPYDB,LF_HETNET_CD_ABSENT,LF_CD_CHECK_DISEASE_TAG,LF_DG_BICLUSTER_PATHOGENESIS	DaG	abstract	test	250	0.01	0.001
