lf_num	auroc	aupr	bce_loss	sampled_lf_name	label_source	data_source	model	epochs	l2_param	lr_param
9	0.6734848484848486	0.18910999082976448	1.1128705739974976	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT	GiG_baseline	abstract	tune	250	1.2575	0.001
9	0.663728897715988	0.3058504419445561	0.9264061450958252	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT	GiG_baseline	abstract	test	250	1.2575	0.001
1	0.6734848484848486	0.18910999082976448	1.1127089262008667	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_DISTANCE_LONG	DaG	abstract	tune	250	1.2575	0.001
1	0.6643030039721947	0.3059245902411492	0.9261204600334167	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_DISTANCE_LONG	DaG	abstract	test	250	1.2575	0.001
1	0.6739015151515151	0.23782781531658714	1.1236516237258911	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_BICLUSTER_BIOMARKERS	DaG	abstract	tune	250	1.2575	0.001
1	0.6608738828202582	0.287428647158609	0.9401004910469055	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_BICLUSTER_BIOMARKERS	DaG	abstract	test	250	1.2575	0.001
1	0.7024621212121213	0.2564493456637068	1.1347354650497437	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_BICLUSTER_PATHOGENESIS	DaG	abstract	tune	250	1.2575	0.001
1	0.6631858242303874	0.3047228939339942	0.957107663154602	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_BICLUSTER_PATHOGENESIS	DaG	abstract	test	250	1.2575	0.001
1	0.6725378787878789	0.18844417640556083	1.1138520240783691	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DaG_CELLULAR_ACTIVITY	DaG	abstract	tune	250	1.2575	0.001
1	0.6620065789473684	0.3042280047132757	0.9278724193572998	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DaG_CELLULAR_ACTIVITY	DaG	abstract	test	250	1.2575	0.001
1	0.6880871212121212	0.21765837716140307	1.4098132848739624	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_DISTANCE_SHORT	DaG	abstract	tune	250	0.01	0.001
1	0.6591360476663357	0.293965458172589	1.1121222972869873	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_DISTANCE_SHORT	DaG	abstract	test	250	0.01	0.001
1	0.6880871212121212	0.21765837716140307	1.4098132848739624	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_DISTANCE_SHORT	DaG	abstract	tune	250	0.01	0.001
1	0.6591360476663357	0.293965458172589	1.1121222972869873	LF_HETNET_HI_I_05,LF_HETNET_VENKATESAN_09,LF_HETNET_YU_11,LF_HETNET_HI_II_14,LF_HETNET_LIT_BM_13,LF_HETNET_II_BINARY,LF_HETNET_II_LITERATURE,LF_HETNET_HETIO_DAG,LF_HETNET_GiG_ABSENT,LF_DG_DISTANCE_SHORT	DaG	abstract	test	250	0.01	0.001
