	true_proportion	prediction_proportion	label
0	0.04017857142857143	0.062476871946793314	before_calibration
1	0.06936416184971098	0.13824878818210148	before_calibration
2	0.1864406779661017	0.23976234232975266	before_calibration
3	0.10714285714285714	0.3385751449636051	before_calibration
4	0.1111111111111111	0.4474770757887099	before_calibration
5	0.16666666666666666	0.5143152972062429	before_calibration
6	0.0	0.6398801803588867	before_calibration
0	0.0	0.08195008246266113	after_calibration
1	0.05150214592274678	0.15429673359885238	after_calibration
2	0.10869565217391304	0.2411627109715904	after_calibration
3	0.12727272727272726	0.34063136035745795	after_calibration
4	0.1111111111111111	0.43585918678177726	after_calibration
5	0.14285714285714285	0.5226469891411918	after_calibration
