	true_proportion	prediction_proportion	label
0	0.3333333333333333	0.36529816190401715	before_calibration
1	0.2	0.47062703569730124	before_calibration
2	0.28378378378378377	0.5613816928219151	before_calibration
3	0.3224043715846995	0.6574009054345511	before_calibration
4	0.35735735735735735	0.751644433081687	before_calibration
5	0.44155844155844154	0.8437947214810879	before_calibration
6	0.5873015873015873	0.9199179297401792	before_calibration
0	0.2222222222222222	0.4737684660487705	after_calibration
1	0.3088235294117647	0.5643830936329037	after_calibration
2	0.35683760683760685	0.651735205680896	after_calibration
3	0.4924812030075188	0.737017835217311	after_calibration
4	0.4782608695652174	0.8165852401567542	after_calibration
