edge_type	source_node	target_node	generative_model_pred	discriminative_model_pred	n_sentences	hetionet	lemma
[D]{.disease_color}a[G]{.gene_color}	hematologic cancer	STMN1	1.000	0.979	83	Novel	the stathmin1 mrna expression level in de novo al patient be high than that in healthy person ( p < 0.05 ) , the [stathmin1].{gene_color} mrna expression level in relapse patient with al be high than that in de novo patient ( p < 0.05 ) , and there be no significant difference of stathmin1 mrna expression between patient with [aml].{disease_color} and patient with all .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	INSIG2	1.000	0.979	4	Novel	in analysis of [idc ].{disease_color} cell , the level of [insig2].{gene_color} mrna expression be significantly high in late - stage patient than in early - stage patient .
[D]{.disease_color}a[G]{.gene_color}	lung cancer	GNAO1	1.000	0.979	104	Novel	high [numb].{disease_color} expression be associate with favorable prognosis in patient with [lung adenocarcinoma].{gene_color} , but not in those with squamous cell carcinoma .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	TTF1	1.000	0.977	88	Novel	significant [ttf-1].{gene_color} overexpression be observe in adenocarcinomas harbor egfr mutation ( p = 0.008 ) , and no or significantly low level expression of ttf-1 be observe in [adenocarcinomas].{disease_color} harbor kras mutation ( p = 0.000 ) .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	BUB1B	1.000	0.977	13	Novel	elevated [bubr1].{gene_color} expression be associate with poor survival in early stage [breast cancer].{disease_color} patient .
[D]{.disease_color}a[G]{.gene_color}	Alzheimer's disease	SERPINA3	1.000	0.977	182	Existing	a common polymorphism within act and il-1beta gene affect plasma level of [act].{gene_color} or il-1beta , and [ad].{disease_color} patient with the act t , t or il-1beta t , t genotype show the high level of plasma act or il-1beta , respectively .
[D]{.disease_color}a[G]{.gene_color}	esophageal cancer	TRAF6	1.000	0.976	15	Novel	expression of traf6 be highly elevated in [esophageal cancer].{disease_color} tissue , and patient with high [traf6].{gene_color} expression have a significantly short survival time than those with low traf6 expression .
[D]{.disease_color}a[G]{.gene_color}	hypertension	TBX4	1.000	0.975	146	Novel	the proportion of circulate [th1].{gene_color} cell and the level of t - bet , ifng mrna be increase in [ht].{disease_color} patient , the expression of ifng - as1 be upregulated and positively correlate with the proportion of circulate th1 cell or t - bet , and ifng expression , or serum level of anti - thyroglobulin antibody / thyroperoxidase antibody in ht patient .
[D]{.disease_color}a[G]{.gene_color}	breast cancer	TP53	1.000	0.975	3481	Existing	hormone receptor status rather than her2 status be significantly associate with increase ki-67 and [p53].{gene_color} expression in triple [- negative ].{disease_color} breast carcinoma , and high expression of ki-67 but not p53 be significantly associate with axillary nodal metastasis in triple - negative and high - grade non - triple - negative breast carcinoma .
[D]{.disease_color}a[G]{.gene_color}	esophageal cancer	COL17A1	1.000	0.975	32	Novel	high [cd147].{gene_color} expression in patient with [esophageal cancer].{disease_color} be associate with bad survival outcome and common clinicopathological indicator of poor prognosis .
[C]{.compound_color}t[D]{.disease_color}	Docetaxel	prostate cancer	0.996	0.964	5614	Existing	docetaxel and atrasentan versus [docetaxel ].{compound_color} and placebo for man with advanced castration - resistant [prostate cancer].{disease_color} ( swog s0421 ) : a randomised phase 3 trial
[C]{.compound_color}t[D]{.disease_color}	E7389	breast cancer	0.999	0.957	862	Novel	clinical effect of prior trastuzumab on combination [eribulin mesylate].{compound_color} plus trastuzumab as first - line treatment for human epidermal growth factor receptor 2 positive locally recurrent or metastatic [breast cancer].{disease_color} : result from a phase ii , single - arm , multicenter study
[C]{.compound_color}t[D]{.disease_color}	Zoledronate	bone cancer	0.996	0.955	226	Novel	[zoledronate].{compound_color} in combination with chemotherapy and surgery to treat [osteosarcoma].{disease_color} ( os2006 ) : a randomised , multicentre , open - label , phase 3 trial .
[C]{.compound_color}t[D]{.disease_color}			0.878	0.954	484	Existing	the role of [ixazomib].{compound_color} as an augment conditioning therapy in salvage autologous stem cell transplant ( asct ) and as a post - asct consolidation and maintenance strategy in patient with relapse multiple myeloma ( accord [ uk - mra [myeloma].{disease_color} xii ] trial ) : study protocol for a phase iii randomise controlled trial
[C]{.compound_color}t[D]{.disease_color}	Topotecan	lung cancer	1.000	0.954	315	Existing	combine chemotherapy with cisplatin , etoposide , and irinotecan versus [topotecan].{compound_color} alone as second - line treatment for patient with [sensitive relapse small].{disease_color} - cell lung cancer ( jcog0605 ) : a multicentre , open - label , randomised phase 3 trial .
[C]{.compound_color}t[D]{.disease_color}	Epirubicin	breast cancer	0.999	0.953	2147	Existing	accelerate versus standard [epirubicin].{compound_color} follow by cyclophosphamide , methotrexate , and fluorouracil or capecitabine as adjuvant therapy for [breast cancer].{disease_color} in the randomised uk tact2 trial ( cruk/05/19 ) : a multicentre , phase 3 , open - label , randomise , control trial
[C]{.compound_color}t[D]{.disease_color}	Paclitaxel	breast cancer	1.000	0.952	10255	Existing	sunitinib plus [paclitaxel].{compound_color} versus bevacizumab plus paclitaxel for first - line treatment of patients with [advanced breast cancer].{disease_color} : a phase iii , randomized , open - label trial
[C]{.compound_color}t[D]{.disease_color}	Anastrozole	breast cancer	0.996	0.952	2364	Existing	a european organisation for research and treatment of cancer randomize , double - blind , placebo - control , multicentre [phase].{disease_color} ii trial of anastrozole in combination with [gefitinib or placebo in hormone].{compound_color} receptor - positive advanced breast cancer ( nct00066378 ) .
[C]{.compound_color}t[D]{.disease_color}	Gefitinib	lung cancer	1.000	0.950	11860	Existing	[gefitinib].{compound_color} versus placebo as maintenance therapy in patient with locally advanced or metastatic [non - small].{disease_color} - cell lung cancer ( inform ; c - tong 0804 ) : a multicentre , double - blind randomise phase 3 trial .
[C]{.compound_color}t[D]{.disease_color}	Docetaxel	prostate cancer	1.000	0.949	5614	Existing	ipilimumab versus placebo after radiotherapy in patient with metastatic castration - resistant [prostate cancer].{disease_color} that have progress after [docetaxel].{compound_color} chemotherapy ( ca184 - 043 ) : a multicentre , randomised , double - blind , phase 3 trial
