edge_type	source_node	target_node	generative_model_pred	discriminative_model_pred	n_sentences	hetionet	lemma
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	EGFR	0.601	0.876	3423	Novel	amphiregulin ( ar ) and heparin - binding egf - like growth factor ( hb - [egf ].{compound_color} ) bind and activate the egfr while heregulin ( hrg [) act ].{gene_color} through the p185erbb-2 and p180erbb-4 tyrosine kinase .
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	EGFR	0.851	0.870	3423	Novel	member of the mitogen - activate protein kinase family be know to be activate by a variety of mitogenic stimulus [, ].{gene_color} include tyrosine kinase such as abl [and the epidermal growth factor ( egf ].{compound_color} ) receptor .
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	HBEGF	0.601	0.868	24	Novel	amphiregulin ( ar ) and heparin - binding egf - [like growth ].{compound_color} factor ( hb - egf ) bind and activate the egfr while heregulin ( hrg [) act ].{gene_color} through the p185erbb-2 and p180erbb-4 tyrosine kinase .
[C]{.compound_color}b[G]{.gene_color}	Phosphonotyrosine	ANK3	0.004	0.865	1	Novel	at least two domain of p85 can bind to [ank3 ].{gene_color} , and the interaction involve the p85 c - sh2 domain be find [to ].{compound_color} be phosphotyrosine - independent .
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	HBEGF	0.601	0.861	24	Novel	amphiregulin ( ar ) and [heparin - binding egf ].{compound_color} - like growth factor ( hb - egf ) bind and activate the egfr while heregulin ( hrg [) act ].{gene_color} through the p185erbb-2 and p180erbb-4 tyrosine kinase .
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	SHC3	0.958	0.860	2	Novel	[shcc ].{compound_color} be a family member of the shc docking protein that possess two different phosphotyrosine - bind motif and conduct signal as grb2-binding substrate of [various ].{gene_color} receptor tyrosine kinase .
[C]{.compound_color}b[G]{.gene_color}	Adenosine	ABCC8	0.891	0.860	353	Novel	sulfonylurea act by inhibition of beta [- cell ].{compound_color} adenosine triphosphate - dependent potassium ( k(atp ) ) channel after bind to the sulfonylurea subunit 1 [receptor ( ].{gene_color} sur1 ) .
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	AREG	0.891	0.857	22	Novel	amphiregulin ( [ar ) ].{gene_color} and heparin - binding egf - like growth factor ( hb - egf ) bind and activate the egfr while heregulin ( hrg [) act ].{compound_color} through the p185erbb-2 and p180erbb-4 tyrosine kinase .
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	VEGFA	0.004	0.856	836	Novel	vascular endothelial growth factor - [a ( ].{compound_color} vegf - a ) , so far consider the most important , act through dimerization of the receptor [vegfr2 ].{gene_color} / kdr within the receptor tyrosine kinase family of vegf receptor .
[C]{.compound_color}b[G]{.gene_color}	D-Tyrosine	EGF	0.602	0.856	389	Novel	upon activation of the receptor for the epidermal growth factor ( [egfr ) ].{gene_color} , sprouty2 undergoe phosphorylation at a conserve [tyrosine ].{compound_color} that recruit the src homology 2 domain of c - cbl .
