candidate_id	gene1_id	gene2_id	lemma	gene1_start	gene1_end	gene2_start	gene2_end	generative_model_pred	discriminative_model_pred
198296	6256	6256	'nuclear'|'hormone'|'receptor'|','|'for'|'example'|','|'bind'|'either'|'as'|'homodimer'|'or'|'as'|'heterodimer'|'with'|'retinoid'|'x'|'receptor'|'('|'rxr'|')'|'to'|'half'|'-'|'site'|'repeat'|'that'|'be'|'stabilize'|'by'|'protein'|'-'|'protein'|'interaction'|'mediate'|'by'|'residue'|'within'|'both'|'the'|'dna-'|'and'|'ligand'|'-'|'bind'|'domain'|'.'	15	18	19	21	0.8238961240662436	0.551031768321991
281239	57105	57105	'the'|'bind'|'pocket'|'of'|'cyslt2'|'receptor'|'and'|'the'|'proposition'|'of'|'the'|'interaction'|'mode'|'between'|'cyslt2'|'and'|'hami3379'|'be'|'identify'|'.'	14	15	4	5	0.9670557028399481	0.5639010667800903
1324798	8431	8431	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	20	21	44	45	0.40356943348579655	0.5019243955612183
1324799	8431	8431	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	20	21	31	32	0.40356943348579655	0.4969910979270935
1324800	8431	2494	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	20	21	8	9	0.9975248037314439	0.5540680885314941
1324801	8431	8431	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	44	45	31	32	0.6888900877380194	0.5038344264030457
1324802	8431	2494	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	44	45	8	9	0.21449343670465962	0.4961627721786499
1324803	8431	2494	'the'|'crystal'|'structure'|'and'|'modeling'|'study'|'of'|'the'|'lrh-1'|'ligand'|'-'|'bind'|'domain'|'bind'|'to'|'either'|'of'|'the'|'two'|'lxxll'|'-'|'relate'|'motif'|'of'|'shp'|'show'|'that'|'the'|'receptor'|'undergo'|'conformational'|'change'|'to'|'accommodate'|'the'|'shp'|'docking'|'and'|'reveal'|'key'|'residue'|'that'|'determine'|'the'|'potency'|'and'|'selectivity'|'of'|'shp'|'binding'|'.'	31	32	8	9	0.9998134464602579	0.5223281383514404
1844575	2852	2852	'g'|'protein'|'-'|'couple'|'estrogen'|'receptor'|'1'|'('|'gper1'|')'|'be'|'a'|'novel'|'seven'|'-'|'transmembrane'|'estrogen'|'receptor'|'that'|'function'|'alongside'|'traditional'|'nuclear'|'estrogen'|'receptor'|'('|'er'|')'|'to'|'regulate'|'the'|'cellular'|'response'|'to'|'estrogen'|'.'	6	8	0	5	0.0006327842528974752	0.4998646378517151
1926393	2099	23543	'mutation'|'of'|'the'|'rna'|'recognition'|'motif'|'alter'|'rna'|'bind'|'specificity'|'and'|'result'|'in'|'a'|'dominant'|'negative'|'form'|'of'|'rta'|'that'|'lead'|'to'|'derepression'|'of'|'eralpha'|'transcriptional'|'activity'|','|'allow'|'all'|'class'|'of'|'antiestrogen'|'to'|'manif'|'partial'|'agonist'|'activity'|'and'|'enhance'|'agonist'|'efficacy'|'.'	24	25	18	19	0.9980792688884181	0.496077686548233
